File,Line,Event
cron.php,46,default
Mage/Adminhtml/Controller/Action.php,159,adminhtml_controller_action_predispatch_start
Mage/Adminhtml/Block/Customer/Edit/Tab/Carts.php,61,adminhtml_block_html_before
Mage/Adminhtml/Block/Report/Grid.php,186,adminhtml_widget_grid_filter_collection
Mage/Adminhtml/Block/Cms/Page/Edit/Tab/Meta.php,76,adminhtml_cms_page_edit_tab_meta_prepare_form
Mage/Adminhtml/Block/Cms/Page/Edit/Tab/Design.php,125,adminhtml_cms_page_edit_tab_design_prepare_form
Mage/Adminhtml/Block/Cms/Page/Edit/Tab/Main.php,119,adminhtml_cms_page_edit_tab_main_prepare_form
Mage/Adminhtml/Block/Cms/Page/Edit/Tab/Content.php,98,adminhtml_cms_page_edit_tab_content_prepare_form
Mage/Adminhtml/Block/Api/User.php,52,api_user_html_before
Mage/Adminhtml/Block/Widget/Container.php,307,adminhtml_widget_container_html_before
Mage/Adminhtml/Block/Permissions/User.php,52,permissions_user_html_before
Mage/Adminhtml/Block/Template.php,80,adminhtml_block_html_before
Mage/Adminhtml/Block/Sales/Reorder/Renderer/Action.php,55,adminhtml_customer_orders_add_action_renderer
Mage/Adminhtml/Block/Catalog/Category/Tabs.php,157,adminhtml_catalog_category_tabs
Mage/Adminhtml/Block/Catalog/Category/Tree.php,284,adminhtml_catalog_category_tree_is_moveable
Mage/Adminhtml/Block/Catalog/Category/Tree.php,321,adminhtml_catalog_category_tree_can_add_root_category
Mage/Adminhtml/Block/Catalog/Category/Tree.php,341,adminhtml_catalog_category_tree_can_add_sub_category
Mage/Adminhtml/Block/Catalog/Category/Tab/Attributes.php,161,adminhtml_catalog_category_edit_prepare_form
Mage/Adminhtml/Block/Catalog/Product/Grid.php,311,adminhtml_catalog_product_grid_prepare_massaction
Mage/Adminhtml/Block/Catalog/Product/Helper/Form/Gallery/Content.php,60,catalog_product_gallery_prepare_layout
Mage/Adminhtml/Block/Catalog/Product/Attribute/New/Product/Attributes.php,64,adminhtml_catalog_product_edit_prepare_form
Mage/Adminhtml/Block/Catalog/Product/Attribute/New/Product/Attributes.php,80,adminhtml_catalog_product_edit_element_types
Mage/Adminhtml/Block/Catalog/Product/Attribute/Set/Main.php,406,adminhtml_catalog_product_attribute_set_main_html_before
Mage/Adminhtml/Block/Catalog/Product/Attribute/Set/Toolbar/Main.php,68,adminhtml_catalog_product_attribute_set_toolbar_main_html_before
Mage/Adminhtml/Block/Catalog/Product/Attribute/Edit/Tab/Main.php,71,adminhtml_product_attribute_types
Mage/Adminhtml/Block/Catalog/Product/Attribute/Edit/Tab/Main.php,242,adminhtml_catalog_product_attribute_edit_prepare_form
Mage/Adminhtml/Block/Catalog/Product/Edit/Action/Attribute/Tab/Attributes.php,50,adminhtml_catalog_product_form_prepare_excluded_field_list
Mage/Adminhtml/Block/Catalog/Product/Edit/Tab/Attributes.php,143,adminhtml_catalog_product_edit_prepare_form
Mage/Adminhtml/Block/Catalog/Product/Edit/Tab/Attributes.php,167,adminhtml_catalog_product_edit_element_types
Mage/Adminhtml/Block/Catalog/Product/Edit/Tab/Price/Recurring.php,42,catalog_product_edit_form_render_recurring
Mage/Adminhtml/Block/Catalog/Product/Edit/Tab/Attributes/Create.php,85,adminhtml_catalog_product_edit_tab_attributes_create_html_before
Mage/Adminhtml/Block/Promo/Widget/Chooser.php,106,adminhtml_block_promo_widget_chooser_prepare_collection
Mage/Adminhtml/Block/Promo/Catalog/Edit/Tab/Main.php,187,adminhtml_promo_catalog_edit_tab_main_prepare_form
Mage/Adminhtml/Block/Promo/Quote/Edit/Tab/Actions.php,162,adminhtml_block_salesrule_actions_prepareform
Mage/Adminhtml/Block/Promo/Quote/Edit/Tab/Main.php,277,adminhtml_promo_quote_edit_tab_main_prepare_form
Mage/Adminhtml/Block/Promo/Quote/Edit/Tab/Coupons/Form.php,132,adminhtml_promo_quote_edit_tab_coupons_form_prepare_form
Mage/Adminhtml/Block/System/Config/Form/Fieldset/Modules/DisableOutput.php,42,adminhtml_system_config_advanced_disableoutput_render_before
Mage/Adminhtml/Block/System/Config/Tabs.php,102,adminhtml_block_system_config_init_tab_sections_before
Mage/Adminhtml/Block/System/Store/Edit/Form.php,342,adminhtml_store_edit_form_prepare_form
Mage/Adminhtml/controllers/Cms/PageController.php,139,cms_page_prepare_save
Mage/Adminhtml/controllers/Cms/PageController.php,199,adminhtml_cmspage_on_delete
Mage/Adminhtml/controllers/Cms/PageController.php,204,adminhtml_cmspage_on_delete
Mage/Adminhtml/controllers/CacheController.php,56,adminhtml_cache_flush_all
Mage/Adminhtml/controllers/CacheController.php,68,adminhtml_cache_flush_system
Mage/Adminhtml/controllers/CacheController.php,128,adminhtml_cache_refresh_type
Mage/Adminhtml/controllers/CacheController.php,145,clean_media_cache_after
Mage/Adminhtml/controllers/CacheController.php,169,clean_catalog_images_cache_after
Mage/Adminhtml/controllers/Permissions/RoleController.php,193,admin_permissions_role_prepare_save
Mage/Adminhtml/controllers/ReportController.php,82,on_view_report
Mage/Adminhtml/controllers/Sales/Order/CreateController.php,143,adminhtml_sales_order_create_process_data_before
Mage/Adminhtml/controllers/Sales/Order/CreateController.php,257,adminhtml_sales_order_create_process_data
Mage/Adminhtml/controllers/Sales/Order/CreditmemoController.php,160,adminhtml_sales_order_creditmemo_register_before
Mage/Adminhtml/controllers/Catalog/CategoryController.php,189,category_prepare_ajax_response
Mage/Adminhtml/controllers/Catalog/CategoryController.php,314,catalog_category_prepare_save
Mage/Adminhtml/controllers/Catalog/CategoryController.php,409,catalog_controller_category_delete
Mage/Adminhtml/controllers/Catalog/Product/GalleryController.php,49,catalog_product_gallery_upload_image_after
Mage/Adminhtml/controllers/Catalog/Product/Action/AttributeController.php,165,catalog_product_to_website_change
Mage/Adminhtml/controllers/Catalog/ProductController.php,192,catalog_product_new_action
Mage/Adminhtml/controllers/Catalog/ProductController.php,237,catalog_product_edit_action
Mage/Adminhtml/controllers/Catalog/ProductController.php,659,catalog_product_prepare_save
Mage/Adminhtml/controllers/Catalog/ProductController.php,882,catalog_controller_product_delete
Mage/Adminhtml/controllers/Promo/CatalogController.php,120,adminhtml_controller_catalogrule_prepare_save
Mage/Adminhtml/controllers/Promo/QuoteController.php,120,adminhtml_controller_salesrule_prepare_save
Mage/Adminhtml/controllers/CustomerController.php,314,adminhtml_customer_prepare_save
Mage/Adminhtml/controllers/CustomerController.php,344,adminhtml_customer_save_after
Mage/Adminhtml/controllers/System/Config/System/StorageController.php,154,add_synchronize_message
Mage/Adminhtml/controllers/System/Convert/ProfileController.php,262,$adapter->getEventPrefix(
Mage/Adminhtml/controllers/System/ConfigController.php,164,admin_system_config_section_save_after
Mage/Adminhtml/controllers/System/ConfigController.php,172,admin_system_config_changed_section_{$section}
Mage/Adminhtml/controllers/System/StoreController.php,202,store_group_save
Mage/Adminhtml/controllers/System/StoreController.php,225,$eventName
Mage/Adminhtml/controllers/System/StoreController.php,434,store_delete
Mage/Adminhtml/Model/Config/Data.php,48,model_config_data_save_before
Mage/Adminhtml/Model/Sales/Order/Create.php,341,sales_convert_order_to_quote
Mage/Adminhtml/Model/Sales/Order/Create.php,434,sales_convert_order_item_to_quote_item
Mage/Adminhtml/Model/Sales/Order/Create.php,1552,checkout_submit_all_after
Mage/GoogleCheckout/Block/Link.php,90,googlecheckout_block_link_html_before
Mage/GoogleCheckout/controllers/RedirectController.php,98,googlecheckout_checkout_before
Mage/GoogleCheckout/Model/Api/Xml/Checkout.php,170,google_checkout_discount_item_price
Mage/GoogleCheckout/Model/Api/Xml/Callback.php,355,googlecheckout_create_order_before
Mage/GoogleCheckout/Model/Api/Xml/Callback.php,449,googlecheckout_save_order_after
Mage/GoogleCheckout/Model/Api/Xml/Callback.php,463,checkout_submit_all_after
Mage/Rss/Block/Wishlist.php,141,rss_wishlist_xml_callback
Mage/Rss/Block/Order/New.php,77,rss_order_new_collection_select
Mage/Rss/Block/Catalog/Review.php,86,rss_catalog_review_collection_select
Mage/Rss/Block/Catalog/Tag.php,93,rss_catalog_tagged_item_xml_callback
Mage/Rss/Block/Catalog/NotifyStock.php,108,rss_catalog_notify_stock_collection_select
Mage/Rss/Block/Catalog/Category.php,119,rss_catalog_category_xml_callback
Mage/Rss/Block/Catalog/New.php,133,rss_catalog_new_xml_callback
Mage/Rss/Block/Catalog/Special.php,165,rss_catalog_special_xml_callback
Mage/Customer/controllers/AccountController.php,335,customer_register_success
Mage/Customer/Helper/Data.php,329,customer_registration_is_allowed
Mage/Customer/Model/Address/Abstract.php,329,customer_address_format
Mage/Customer/Model/Session.php,75,customer_session_init
Mage/Customer/Model/Session.php,225,customer_login
Mage/Customer/Model/Session.php,253,customer_logout
Mage/Customer/Model/Customer.php,166,customer_customer_authenticated
Mage/Paypal/Model/Cart.php,318,paypal_prepare_line_items
Mage/Paypal/Model/Payment/Transaction.php,100,$this->_eventPrefix . '_load_by_txn_id_before
Mage/Paypal/Model/Payment/Transaction.php,129,$this->_eventPrefix . '_load_by_txn_id_after
Mage/Tax/Model/Calculation/Rate.php,110,tax_settings_change_after
Mage/Tax/Model/Calculation/Rate.php,136,tax_settings_change_after
Mage/Tax/Model/Calculation/Rate.php,180,tax_settings_change_after
Mage/Tax/Model/Calculation/Rule.php,73,tax_settings_change_after
Mage/Tax/Model/Calculation/Rule.php,85,tax_settings_change_after
Mage/Tax/Model/Calculation.php,191,tax_rate_data_fetch
Mage/Wishlist/Block/Customer/Wishlist/Item/Options.php,52,product_option_renderer_init
Mage/Wishlist/controllers/IndexController.php,192,wishlist_add_product
Mage/Wishlist/controllers/IndexController.php,309,wishlist_update_item
Mage/Wishlist/controllers/IndexController.php,666,wishlist_share
Mage/Wishlist/Helper/Data.php,560,wishlist_items_renewed
Mage/Wishlist/Model/Resource/Item/Collection.php,192,wishlist_item_collection_products_after_load
Mage/Wishlist/Model/Wishlist.php,290,wishlist_add_item
Mage/Wishlist/Model/Wishlist.php,375,wishlist_product_add_after
Mage/Admin/Model/User.php,331,admin_user_authenticate_before
Mage/Admin/Model/User.php,348,admin_user_authenticate_after
Mage/Admin/Model/Session.php,104,admin_session_user_login_success
Mage/Admin/Model/Session.php,112,admin_session_user_login_failed
Mage/Cms/Controller/Router.php,71,cms_controller_router_match_before
Mage/Cms/Helper/Wysiwyg/Images.php,158,cms_wysiwyg_images_static_urls_allowed
Mage/Cms/Helper/Page.php,107,cms_page_render
Mage/Cms/Model/Wysiwyg/Config.php,97,cms_wysiwyg_config_prepare
Mage/Cms/Model/Page.php,152,cms_page_get_available_statuses
Mage/Persistent/controllers/IndexController.php,84,persistent_session_expired
Mage/Persistent/Model/Observer.php,492,persistent_session_expired
Mage/Core/Controller/Varien/Action.php,299,controller_action_layout_load_before
Mage/Core/Controller/Varien/Action.php,317,controller_action_layout_generate_xml_before
Mage/Core/Controller/Varien/Action.php,336,controller_action_layout_generate_blocks_before
Mage/Core/Controller/Varien/Action.php,348,controller_action_layout_generate_blocks_after
Mage/Core/Controller/Varien/Action.php,384,controller_action_layout_render_before
Mage/Core/Controller/Varien/Action.php,385,controller_action_layout_render_before_'.$this->getFullActionName(
Mage/Core/Controller/Varien/Action.php,528,controller_action_predispatch
Mage/Core/Controller/Varien/Action.php,529,controller_action_predispatch_' . $this->getRequest(
Mage/Core/Controller/Varien/Action.php,531,controller_action_predispatch_' . $this->getFullActionName(
Mage/Core/Controller/Varien/Action.php,544,controller_action_postdispatch_'.$this->getFullActionName(
Mage/Core/Controller/Varien/Action.php,548,controller_action_postdispatch_'.$this->getRequest(
Mage/Core/Controller/Varien/Action.php,552,controller_action_postdispatch
Mage/Core/Controller/Varien/Action.php,561,controller_action_noroute
Mage/Core/Controller/Varien/Action.php,580,controller_action_nocookies
Mage/Core/Controller/Varien/Front.php,128,controller_front_init_before
Mage/Core/Controller/Varien/Front.php,147,controller_front_init_routers
Mage/Core/Controller/Varien/Front.php,186,controller_front_send_response_before
Mage/Core/Controller/Varien/Front.php,190,controller_front_send_response_after
Mage/Core/Controller/Response/Http.php,82,http_response_send_before
Mage/Core/Controller/Response/Http.php,103,controller_response_redirect
Mage/Core/Block/Abstract.php,237,core_block_abstract_prepare_layout_before
Mage/Core/Block/Abstract.php,850,core_block_abstract_to_html_before
Mage/Core/Block/Abstract.php,886,core_block_abstract_to_html_after
Mage/Core/Helper/Data.php,447,$eventName
Mage/Core/Model/Layout.php,459,core_layout_block_create_after
Mage/Core/Model/Resource/Db/Collection/Abstract.php,586,core_collection_abstract_load_before
Mage/Core/Model/Resource/Db/Collection/Abstract.php,588,$this->_eventPrefix.'_load_before
Mage/Core/Model/Resource/Db/Collection/Abstract.php,635,core_collection_abstract_load_after
Mage/Core/Model/Resource/Db/Collection/Abstract.php,637,$this->_eventPrefix.'_load_after
Mage/Core/Model/Session/Abstract.php,216,core_session_abstract_clear_messages
Mage/Core/Model/Session/Abstract.php,252,core_session_abstract_add_message
Mage/Core/Model/App.php,1172,application_clean_cache
Mage/Core/Model/Layout/Update.php,419,core_layout_update_updates_get_after
Mage/Core/Model/Observer.php,106,core_clean_cache
Mage/Core/Model/Abstract.php,253,model_load_before
Mage/Core/Model/Abstract.php,255,$this->_eventPrefix.'_load_before
Mage/Core/Model/Abstract.php,266,model_load_after
Mage/Core/Model/Abstract.php,267,$this->_eventPrefix.'_load_after
Mage/Core/Model/Abstract.php,343,model_save_commit_after
Mage/Core/Model/Abstract.php,344,$this->_eventPrefix.'_save_commit_after
Mage/Core/Model/Abstract.php,390,model_save_before
Mage/Core/Model/Abstract.php,391,$this->_eventPrefix.'_save_before
Mage/Core/Model/Abstract.php,465,model_save_after
Mage/Core/Model/Abstract.php,466,$this->_eventPrefix.'_save_after
Mage/Core/Model/Abstract.php,500,model_delete_before
Mage/Core/Model/Abstract.php,501,$this->_eventPrefix.'_delete_before
Mage/Core/Model/Abstract.php,528,model_delete_after
Mage/Core/Model/Abstract.php,529,$this->_eventPrefix.'_delete_after
Mage/Core/Model/Abstract.php,540,model_delete_commit_after
Mage/Core/Model/Abstract.php,541,$this->_eventPrefix.'_delete_commit_after
Mage/Core/Model/Abstract.php,568,$this->_eventPrefix.'_clear
Mage/Core/Model/Locale.php,139,core_locale_set_locale
Mage/Core/Model/Locale.php,582,currency_display_options_forming
Mage/Core/Model/Resource.php,278,resource_get_tablename
Mage/Api/Model/User.php,211,api_user_authenticated
Mage/Poll/controllers/VoteController.php,67,poll_vote_add
Mage/XmlConnect/controllers/CartController.php,225,checkout_cart_add_product_complete
Mage/XmlConnect/controllers/CartController.php,355,enterprise_giftcardaccount_add
Mage/XmlConnect/controllers/ReviewController.php,43,review_controller_product_init_before
Mage/XmlConnect/controllers/ReviewController.php,49,review_controller_product_init
Mage/XmlConnect/controllers/WishlistController.php,139,wishlist_add_product
Mage/XmlConnect/controllers/CheckoutController.php,334,checkout_controller_onepage_save_shipping_method
Mage/XmlConnect/controllers/CheckoutController.php,344,checkout_controller_onepage_save_shipping_method
Mage/XmlConnect/Model/Queue.php,292,before_save_message_queue
Mage/CatalogIndex/Model/Resource/Price.php,138,catalogindex_prepare_price_select
Mage/CatalogIndex/Model/Resource/Price.php,177,catalogindex_prepare_price_select
Mage/CatalogIndex/Model/Resource/Price.php,231,catalogindex_prepare_price_select
Mage/CatalogIndex/Model/Resource/Price.php,281,catalogindex_prepare_price_select
Mage/CatalogIndex/Model/Indexer.php,372,catalogindex_plain_reindex_after
Mage/CatalogIndex/Model/Indexer.php,632,catalogindex_prepare_price_select
Mage/CatalogIndex/Model/Data/Abstract.php,204,catalogindex_get_minimal_price
